Experiment,F1-Score,PR-AUC
"A0: Baseline (Temporal, All Features)",0.025711841622876697,0.18806283887907194
A1: Remove Top-3 Features,0.11170592433975732,0.19575816442951754
A2: Remove Class Balancing,0.0,0.21347132517216502
A3: Top-10 Features Only,0.04919706674092639,0.21396965011653749
A4: Random Split (Leakage),0.0,0.2880030505216279
A5: Scramble Dst Port at Inference,0.02393590877813821,0.1861029037814248
