model_name,pr_auc,roc_auc,fpr,fnr,train_time,inference_time,precision_benign,recall_benign,precision_infil,recall_infil,f1_infil
Random Forest (Baseline),0.2371840214948214,0.4540075394622133,0.45689385206852207,0.5741639141205616,63.691723346710205,0.2517683506011963,0.7855649039619895,0.5431061479314779,0.19397230646260902,0.4258360858794385,0.266535299533216
LightGBM (Advanced),0.19945414066514094,0.42642187523357916,0.0031049485951107052,0.9860910404624278,2.6870546340942383,0.03893589973449707,0.7965553958366608,0.9968950514048893,0.536318407960199,0.013908959537572254,0.027114721935759742
XGBoost (Advanced),0.22332117157278644,0.4397656277179256,0.8627426157526169,0.319467382328654,1.798790693283081,0.0317835807800293,0.624620982413584,0.13725738424738312,0.16920855923775305,0.680532617671346,0.27102827750286473
