model_name,pr_auc,roc_auc,fpr,fnr,inference_time,precision_infil,recall_infil,f1_infil
Random Forest (Baseline),7.541784008139652e-05,0.24955806374355338,0.03361449373800101,1.0,0.37586450576782227,0.0,0.0,0.0
LightGBM (Advanced),0.00014935596333553785,0.6192856804566952,0.000814371755508272,1.0,0.04596114158630371,0.0,0.0,0.0
XGBoost (Advanced),0.00044295477003224897,0.8401085501718459,0.4045071144902726,0.05555555555555555,0.035297393798828125,0.00029119312099074176,0.9444444444444444,0.000582206734762023
